Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D3.0mm,1,Blanking LED,
D2,LED_D3.0mm,1,No Blanking LED,
D3,LED_D3.0mm,1,Inverted LED,
D4,LED_D3.0mm,1,Non-Inverted LED,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
J1,BNC_Socket_TYCO-AMP_LargePads,1,Blanking Signal,
J2,BNC_Socket_TYCO-AMP_LargePads,1,Trigger,
J3,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,1,Chrolis 1,
J4,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,1,Chrolis 2,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,NeoPixel Strip,
J6,BarrelJack_Horizontal,1,Barrel_Jack,
"Q1, Q2",TO-92L_Inline_Wide,2,2N5089,
"R1, R6",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,1kΩ,
R10,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,330,
R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,2kΩ,
"R3, R4, R7, R8",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,4,220Ω,
R5,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,150Ω,
R9,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,1k,
SW1,maxi_DPDT_Angled,1,Blanking Switch,
SW2,maxi_DPDT_Angled,1,Blanking Inverter Switch,
U1,MODULE_ESP32-DEVKITC-32D,1,ESP32-DEVKITC-32D,
"U2, U3, U4",DIP-14_W7.62mm_LongPads,3,74LS08,
U5,TO-220-3_Vertical,1,LM317_TO-220,
